dia;S;I;R;N
0;999;1;0;1000
1;995,52;3,0708;1,40961;1000,00041
2;984,934;9,36885;5,69735;1000,0002
3;953,561;28,0309;18,408;999,9999
4;867,356;79,2828;53,3615;1000,0003
5;673,369;194,426;132,205;1000
6;386,975;363,57;249,454;999,999
7;157,399;497,016;345,585;1000
8;51,5139;555,264;393,222;999,9999
9;15,5479;571,199;413,254;1000,0009
10;4,61141;572,038;423,35;999,99941
11;1,37293;568,276;430,351;999,99993
12;0,41292;563,192;436,395;999,99992
13;0,125676;557,756;442,118;999,999676
14;0,0387254;552,256;447,706;1000,000725
15;0,0120811;546,774;453,214;1000,000081
16;0,00381542;541,336;458,661;1000,000815
17;0,0012197;535,948;464,051;1000,00022
18;0,000394626;530,613;469,386;999,9993946
19;0,000129205;525,331;474,669;1000,000129
20;4,28E-05;520,101;479,899;1000,000043
21;1,43E-05;514,924;485,076;1000,000014
22;4,86E-06;509,798;490,202;1000,000005
23;1,67E-06;504,722;495,278;1000,000002
24;5,78E-07;499,698;500,302;1000,000001
25;2,03E-07;494,723;505,277;1000
26;7,19E-08;489,798;510,202;1000
27;2,58E-08;484,922;515,078;1000
28;9,34E-09;480,095;519,905;1000
29;3,42E-09;475,315;524,685;1000
