Dia;S;I;R;N
0;998,80023;1,1262076;0,09111472;1000,0176
1;998,57526;1,2683092;0,1937032;1000,0373
2;998,32196;1,4282975;0,30920357;1000,05945
3;998,0368;1,6084121;0,43923235;1000,0844
4;997,7158;1,8111702;0,58560616;1000,1126
5;997,3545;2,0393999;0,7503659;1000,1443
6;996,94775;2,296277;0,93580365;1000,1798
7;996,49;2,5853677;1,1444925;1000,21985
8;995,97485;2,9106736;1,3793198;1000,26483
9;995,3952;3,2766836;1,643524;1000,31537
10;994,7431;3,6884296;1,9407357;1000,37225
11;994,0096;4,15155;2,2750216;1000,43616
12;993,1846;4,672357;2,650935;1000,5079
13;992,2569;5,2579136;3,0735688;1000,5884
14;991,214;5,916114;3,5486157;1000,6788
15;990,0419;6,655773;4,082431;1000,7801
16;988,72485;7,486725;4,682102;1000,8937
17;987,2455;8,419924;5,3555245;1001,02094
18;985,58435;9,467555;6,111478;1001,1633
19;983,7199;10,643154;6,9597116;1001,32275
20;981,6282;11,961727;7,911031;1001,5009
21;979,2826;13,439873;8,9773855;1001,6998
22;976,6539;15,095915;10,17196;1001,9217
23;973,7096;16,950022;11,509262;1002,1689
24;970,4143;19,02433;13,005205;1002,44385
25;966,729;21,343048;14,677184;1002,7492
26;962,6112;23,932545;16,544136;1003,0879
27;958,01465;26,82142;18,626583;1003,46265
28;952,88934;30,04053;20,946648;1003,8765
29;947,18146;33,622955;23,528034;1004,33246
