Dia;S;I;R;N
0;989,8789;8,109227;2,732704;1000,7209
1;920,5392;62,198257;23,56805;1006,3055
2;573,69165;333,30762;130,06433;1037,0636
3;122,82507;687,7088;274,178;1084,7119
4;13,302055;775,6269;308,80652;1097,7355
5;1,2720466;787,0924;310,84207;1099,2065
6;0,119433895;790,0016;309,22803;1099,3491
7;0,011133856;792,07086;307,28113;1099,363
8;0,0010316749;794,0433;305,32074;1099,365
9;9,5035975E-5;795,989;303,37686;1099,366
10;8,703833E-6;797,9147;301,45203;1099,3667
11;7,925667E-7;799,8212;299,54633;1099,3676
12;7,176104E-8;801,70874;297,65958;1099,3683
13;6,460914E-9;803,57733;295,7916;1099,3689
14;5,784632E-10;805,4276;293,94223;1099,3699
15;5,1506032E-11;807,2596;292,11118;1099,3707
16;4,5610486E-12;809,07324;290,29843;1099,3717
17;4,0171637E-13;810,8686;288,50372;1099,3723
18;3,519217E-14;812,6462;286,72687;1099,373
19;3,066673E-15;814,406;284,96768;1099,3737
20;2,6583163E-16;816,14844;283,226;1099,3745
21;2,2923787E-17;817,8735;281,50168;1099,3751
22;1,966659E-18;819,58136;279,7945;1099,3759
23;1,678638E-19;821,2722;278,10428;1099,3765
24;1,4255825E-20;822,9462;276,43088;1099,3771
25;1,2046386E-21;824,60364;274,77417;1099,3778
26;1,0129124E-22;826,2445;273,1339;1099,3784
27;8,4753796E-24;827,8691;271,50998;1099,379
28;7,0573193E-25;829,4774;269,90222;1099,3796
29;5,848369E-26;831,06976;268,3105;1099,3802
